Time,Residuals
0,-0.010516176554225654
1,-0.000229929563711595
2,-0.00882491057922663
3,-0.0016053267365239154
4,-0.0003503551891343992
5,-0.005413477845647607
6,0.0028321256480319246
7,-0.0029118548840014746
8,-0.004715982359781101
9,0.004171207484046757
10,0.002035332889078534
11,0.003851147866687832
12,0.010970059105199104
13,0.002005194253072773
14,0.0005314720698605946
15,-0.0013864683931072985
16,0.015127913892299727
17,-0.004445147435955699
18,0.008910403573722414
19,0.0026889884562042443
20,0.010558903765681471
21,-0.004497215862838022
22,-0.008602008263659311
23,0.006161505921987498
24,0.007189738027202575
25,-0.009515104884650016
26,0.005499984363141142
27,0.00284056409282174
28,-0.008907648959948222
29,0.004342301829784345
30,0.009262796436655174
31,0.002588142411517058
32,-0.002215950762073371
33,-0.00898652215570328
34,-0.009469078094167083
35,-0.005766121831005888
36,0.0013951853143714388
37,0.003508974938106757
38,-0.006602860140951794
39,0.005298842240343271
40,-0.0009704138851545085
41,0.00020650894617846305
42,-0.005195338148857642
43,0.008414757263838668
44,0.004119530240154434
45,-0.008653686560718965
46,0.005054698505932764
47,0.006414520297243875
48,0.0002688713384881858
49,0.000986953694379178
50,0.009075563684725507
51,-0.00567692371595796
52,-0.0008006797667923227
53,-0.011587484099495837
54,-0.015362006715496479
55,-0.0068509575627171415
56,0.0055304581369515216
57,0.0022586946292237897
58,0.004906052790539128
59,-0.008527889203433059
60,-0.01139993458198263
61,-0.001864955882917796
62,-0.009846651307129362
63,-0.013641734007064032
64,0.007002636570569543
65,0.003896394531708758
66,0.0006537922581750788
67,-0.004715050187449332
68,-0.002557581804150999
69,0.010321231543993337
70,0.010744387777125608
71,-0.00732760848416758
72,0.0012676634434658496
73,0.006629250433956901
74,-0.007043529264386894
75,-0.008709742861654934
76,0.0026851081965475476
77,-0.0035503841522845914
78,0.015684793011847553
79,0.008568219585935566
80,0.0055315990111124425
81,0.015336766355997566
82,0.014076749497915042
83,0.0059186943479410115
84,0.0063403925382516935
85,-0.002321317837782555
86,0.0008341875273694122
87,-0.0022585453408134892
88,-0.010827802668865516
89,-0.016053928281075658
90,-0.012681238990428056
91,-0.0182848983145254
92,-0.007097985481320235
93,0.005586702525342879
94,-0.0007616784190989101
95,-0.008397884522986843
96,-0.003105548297685834
97,0.01845676236521454
98,-0.006054272263692928
99,-0.005218547767542159
100,-0.010970112582082914
101,-0.003215850897583028
102,0.010303693773671796
103,0.002748996955539429
104,-0.00017618822442444504
105,-0.002555120869443872
106,0.005434264440331127
107,0.0017700281455725886
108,0.008627488606396172
109,0.010047372962705081
110,-0.0019117126172845111
111,0.0008296612968365924
112,0.0019679118418740593
