Time,x
0,-0.00809667201137098
1,-0.004104555762074511
2,0.010406299348537082
3,-0.0001295154906667986
4,-0.002356746175701154
5,-0.014031903023585972
6,0.001991351606304313
7,-0.014638220294256184
8,-0.010448800854047709
9,-0.005243738480374477
10,-0.009779026400915608
11,-0.0024289167908207393
12,0.006878460949558002
13,0.007962785893930829
14,0.010692535390534818
15,-0.0027551778295067378
16,-0.008104318926763209
17,-0.006216959077350967
18,-0.0073844697833532974
19,0.011619442553603282
20,0.010041638342716031
21,0.0030405454269283303
22,-0.007013699401179041
23,-0.0010245548797226205
24,0.0008425275547889315
25,-0.0028504245098800026
26,-0.006144398402093928
27,0.0010045649908410168
28,-0.004074071992277859
29,-0.009970792569330483
30,0.0006235446406370194
31,-0.004849559397600553
32,0.005344826121105461
33,0.004192125647147479
34,0.005690126433809814
35,0.009119150658437665
36,0.0043693835020669515
37,0.007561059211120323
38,0.004080674509709834
39,-0.0021880469922206163
40,0.004278278919420807
41,0.002175603496493519
42,0.002037913157529085
43,-0.005544018727202822
44,-0.01201924227737005
45,-0.004296046985527075
46,0.003465697220793226
47,0.012754631903047252
48,0.00836833619818861
49,-0.0068131407627568955
50,-0.005232848133745886
51,-0.0007260558853085038
52,-0.008491315440565228
53,-0.007648391871349367
54,-0.0027501026866270997
55,0.003708464584695981
56,0.00014454164284897954
57,-0.004761978372520513
58,-0.010071127116947458
59,-0.006215964408656558
60,-0.0027870289506254755
61,-0.00339851937084883
62,-0.004684409407585971
63,-0.0008453845510472232
64,0.0058606588213343845
65,0.0018812638132891522
66,-0.01008398712323177
67,-0.0064690450992232465
68,-0.005700010864763959
69,-0.004938515048602589
70,-0.01410407700234306
71,-0.00728160059088808
72,-0.01431309824748123
73,-0.001132570525125846
74,0.0016271731369802574
75,0.00360540716316725
76,0.006630995014770904
77,0.0026290102815804467
78,0.007989822784481581
79,0.008049998911640769
80,0.009596902445122107
81,-0.005202504430855125
82,-0.0035692918285934625
83,-0.004636531365892941
84,-0.004288313966476996
85,0.007651548164573315
86,0.00866039249907218
87,0.004833801292481523
88,0.0069202617791425305
89,0.006780235661384613
90,0.002713071543210168
91,0.0025798600536221074
92,-0.0020690192383865597
93,0.0035350601604174745
94,-0.006530924920604543
95,-0.00010503265436900095
96,0.005079804206872266
97,-0.003259753934874522
98,0.001084089712049848
99,0.006140116112594491
100,0.010964028313543324
101,-0.002311546452476279
102,0.005288297754926441
103,0.0027417299677730787
104,0.008006564979750944
105,0.001642022961215438
106,0.00484983943925013
107,0.0052579238264108645
108,0.011968749176492488
109,9.342360740691635e-05
110,0.006056149844167944
111,0.014614138587677402
112,0.010005101590218604
113,-0.0003769133782687249
114,0.0003256408242657868
115,-0.002970190418581607
116,-0.018126026613723714
117,-0.01357704009890212
118,-0.012187374915881788
119,-0.0054462546058556245
120,-0.007048534304738265
121,-0.01195750025993133
122,-0.007620087249279879
123,-0.003555400033996974
124,-0.001025560520424493
125,-0.0067923134740633835
126,0.005287450613300386
127,-0.0035041195565277887
128,-0.01258413470170927
129,-0.009080459886528974
130,0.006909499804620539
131,0.0005657165348523286
132,-0.00030001978624835917
133,0.006216912773752435
134,0.004420821432277447
135,0.013209040213965195
136,0.010255996357661473
137,0.00926775368991082
138,0.00038309834137641895
139,0.002412971138352468
140,0.0035709021327860833
141,0.0003250573486356056
142,-0.0038983842837463705
143,-0.0008126260181004382
144,0.012573515160292884
145,0.006639822393021393
146,0.004496621297660994
147,0.0056936292389798224
148,0.0076972849542507925
149,0.0023031988984179245
150,-0.0047085418474798295
151,0.0037211836623290938
152,0.0003711578353304296
153,0.007704409721791384
154,-0.00723336466025882
155,-0.004351060213801291
156,-0.0033689576252899406
157,-0.0070023571328363
158,-0.003991705680671359
159,-0.002581944518848791
160,-0.002506293790840775
161,0.005191514303907481
162,-0.006143883037283427
163,-0.0020627635764986743
164,0.0003980954160453974
165,0.007038832394169807
166,0.0027734723050014507
167,0.005919314011943696
168,0.006094759896066896
169,0.01141808463645356
170,0.009384174191239616
171,-0.0019055897452051364
172,0.0029382869062317685
173,0.0013566595513644611
174,0.010282655502058084
175,0.008841578762505058
176,-0.0008041636285107815
177,0.004628172430138866
178,0.003791305127504633
179,0.013785427142816034
180,0.0005637802491311953
181,-0.006775352539858334
182,-0.005361115218619683
183,-0.008329642251385622
184,-0.007207263332185493
185,-0.003908240966136473
186,0.006677896702539134
187,0.004759141435898144
188,0.0005836476213531686
189,-0.012915295591648931
190,-0.004275657167627971
191,-0.0054826697171082754
192,-0.0043831879048970256
193,-0.015054392423400363
194,-0.005743837096132109
195,-0.002345851040670411
196,0.0057396922788929845
197,0.003142332886655292
198,0.012927475903557585
199,0.008263693452864485
200,0.00668408024227718
201,-0.002881555870802344
202,-0.004270015686332844
203,0.0002513919579934252
204,0.011947274589625736
205,0.00687233090617504
206,0.003650524923871074
207,-0.005632093051589034
208,-0.007124346565850592
209,-0.007595548492378248
210,-0.00047007519386934617
211,0.0013576140781775953
212,-0.0024575249342851232
213,0.004921086668012005
214,0.0022072481237624137
215,0.0031902616859085698
216,0.015635405924664118
