Time,x
0,-1.830446395764606
1,-1.8201684302546437
2,-1.828772072514379
3,-1.8215615037850115
4,-1.8203158620557123
5,-1.8253885833005765
6,-1.8171527967507826
7,-1.822906754093568
8,-1.8247209589587259
9,-1.8158438815497604
10,-1.817989830445506
11,-1.8161839807873164
12,-1.8090748582222576
13,-1.8180492739034215
14,-1.8195322595089263
15,-1.8214591310267578
16,-1.8049533027699916
17,-1.8245344975058948
18,-1.8111866259120535
19,-1.8174152337502931
20,-1.8095520011075952
21,-1.824614279374966
22,-1.8287247044600763
23,-1.8139662936342105
24,-1.8129426268661453
25,-1.8296514979226837
26,-1.8146399118362913
27,-1.8173023215985256
28,-1.8290530320122058
29,-1.8158051176296488
30,-1.8108862301500745
31,-1.8175621076448354
32,-1.8223671099895413
33,-1.8291383657785076
34,-1.8296214839293963
35,-1.8259190753001457
36,-1.818758412688584
37,-1.8166454872162636
38,-1.8267585561839086
39,-1.8148586445081376
40,-1.8211304701529438
41,-1.8199571764835962
42,-1.8253640614700517
43,-1.8117608419492013
44,-1.8160653001756824
45,-1.8288507347048875
46,-1.81515826508966
47,-1.813818720557011
48,-1.8199894143787998
49,-1.819300858228797
50,-1.8112157159427853
51,-1.8259724520060703
52,-1.8211012268025832
53,-1.8318937415183052
54,-1.8356744307754043
55,-1.8271696419345655
56,-1.8147941730257429
57,-1.8180712231095941
58,-1.8154280872645174
59,-1.8288648268892826
60,-1.8317379074423081
61,-1.8222017889539077
62,-1.8301798438794823
63,-1.8339685121249931
64,-1.813314616934009
65,-1.8164079224368135
66,-1.8196339851067689
67,-1.8249825603734195
68,-1.8228009920473123
69,-1.809894208294347
70,-1.809439278512589
71,-1.827475720232671
72,-1.818840961680641
73,-1.8134357347605612
74,-1.8270606373480687
75,-1.8286748124899328
76,-1.81722384563477
77,-1.8233993188966056
78,-1.804100249429736
79,-1.81114912111963
80,-1.8141146180887069
81,-1.8042353684632637
82,-1.8054188028875129
83,-1.8134981309018472
84,-1.8129957756859647
85,-1.8215752105436407
86,-1.818336458973688
87,-1.8213458472367425
88,-1.8298325839271334
89,-1.8349776615186093
90,-1.8315258672970705
91,-1.8370526143762587
92,-1.825791105372948
93,-1.8130343475255641
94,-1.8193136394043468
95,-1.826884243674242
96,-1.8215303332211092
97,-1.7999112143990277
98,-1.8243709604872247
99,-1.8234901123932608
100,-1.8292032481119778
101,-1.8214174832148493
102,-1.8078731924117881
103,-1.8154096531743844
104,-1.8183226594717754
105,-1.8206949755211137
106,-1.8127040281331581
107,-1.8163712110387011
108,-1.8095205884915677
109,-1.8081107438845876
110,-1.820082152753752
111,-1.8173544306464935
112,-1.816230467071707
113,-1.818104601869355
114,-1.8170546887081527
115,-1.8113278187202135
116,-1.8201151450505315
117,-1.8110181233252314
118,-1.8265361424285347
119,-1.8132585589463468
120,-1.811611850018109
121,-1.8051165094649178
122,-1.8092923257761782
123,-1.8242298005475779
124,-1.8187671655423459
125,-1.8182037179536317
126,-1.8032264286566615
127,-1.818296980989528
128,-1.8266092508209126
129,-1.818725988614022
130,-1.834285426898027
131,-1.8200316490855302
132,-1.810281849660149
133,-1.8149624170517793
134,-1.8317024041094316
135,-1.822709720435812
136,-1.830036216012552
137,-1.7983705176246219
138,-1.8064537928145474
139,-1.8107256420365978
140,-1.808043203265826
141,-1.8192387574584215
142,-1.825817704654133
143,-1.8438313765556569
144,-1.8228778747645045
145,-1.8280319843609123
146,-1.839037317343104
147,-1.8227281757800808
148,-1.8260503422406946
149,-1.817074067707115
150,-1.814986126427537
151,-1.8344262362343322
152,-1.8114129195012767
153,-1.8178654797476705
154,-1.8130433299321778
155,-1.8141066647694195
156,-1.8210965011513365
157,-1.8251854219544814
158,-1.8141405725758988
159,-1.809266604105383
